ENFOODNAME,FACETS,BASETERM_NAME,SCIENTIFIC_NAME,COMMON_NAME
The group includes any type of Popcorn (popped maize) made by popping/puffing maize grains. The part consumed/analysed is by default the whole or a portion of it representing the observed heterogeneity.£https://en.wikipedia.org/wiki/Popcorn_£https://www.google.co.uk/search?tbm=isch&q=Popcorn+,A00DC#F02.A068F$F27.A000V$F28.A07LL$F33.A0C46,"Popcorn (maize, popped)",,
"It is the meat of some seafood invertebrates containing also different organs, as distinguished from white meat, representing only the muscle part",A06AA,Brown meat (as part-nature),,
"Live animal of the taxonomic species Chelmon muelleri, within the Family Chaetodontidae. The organisms are commonly known as Blackfin coralfish. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Chelmon-muelleri.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Chelmon muelleri",A0R1Z#F02.A0EJV,Blackfin coralfish (as animal),Chelmon muelleri,
Live plant organism of the taxonomic group Pilocarpus microphyllus Stapf ex Wardlew. . The group is relevant for the list of Botanicals. The plant is a member of the family Rutaceae. The part considered is by default the whole living organism.£https://en.wikipedia.org/wiki/Pilocarpus_microphyllus,A15DE#F02.A0BA0,Pilocarpus microphyllus Stapf ex Wardlew. (as plant),Pilocarpus microphyllus Stapf ex Wardlew.,
"Live animal of the taxonomic species Cherax depressus Riek, within the family Parastacidae. The organisms are commonly known as Orange-fingered freshwater Crayfish or Orange-fingered Yabby. The part considered is by default the whole living organism.£https://en.wikipedia.org/wiki/Cherax",A09ZZ#F02.A0EJQ,Orange-fingered freshwater Crayfish (as animal),Cherax depressus Riek,Orange-fingered Yabby
Live plant organism of the taxonomic group Amaryllidaceae (family). The group is relevant for the list of Botanicals. The part considered is by default the whole living organism.£https://en.wikipedia.org/wiki/Amaryllidaceae,A135K#F02.A0BA0,Amaryllidaceae - family (as plant),Amaryllidaceae (family),
"Live animal of the taxonomic species Meiacanthus abditus, within the Family Blenniidae. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Meiacanthus-abditus.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Meiacanthus abditus",A0VHE#F02.A0EJV,Meiacanthus abditus (as animal),Meiacanthus abditus,
"Live animal of the taxonomic species Lepidopygopsis typus, within the Family Cyprinidae. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Lepidopygopsis-typus.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Lepidopygopsis",A0KEH#F02.A0EJV,Lepidopygopsis typus (as animal),Lepidopygopsis typus,
"Live animal of the taxonomic species Rhinecanthus aculeatus, within the Family Balistidae. The organisms are commonly known as White-banded triggerfish. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Rhinecanthus-aculeatus.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Rhinecanthus aculeatus",A09NH#F02.A0EJV,White-banded triggerfish (as animal),Rhinecanthus aculeatus,
"Live animal of the taxonomic species Heteroscyllium colcloughi, within the Family Brachaeluridae. The organisms are commonly known as Bluegray carpetshark or Requin aveugle gris-bleu or Tiburón ciego gris or -. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Heteroscyllium-colcloughi.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Heteroscyllium colcloughi",A0FKF#F02.A0EJV,Bluegray carpetshark (as animal),Heteroscyllium colcloughi,Requin aveugle gris-bleu$Tiburón ciego gris$-
Live plant organism of the taxonomic group Allium canadense L. The group is relevant for the list of Botanicals. The plant is a member of the family Amaryllidaceae. The part considered is by default the whole living organism.£https://en.wikipedia.org/wiki/Allium_canadense,A13JQ#F02.A0BA0,Allium canadense L. (as plant),Allium canadense L.,
"Underground fruiting body of fungi classified under the species Tuber magnatum Picco, commonly known as Piemont white truffles. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.£https://en.wikipedia.org/wiki/Truffle£https://www.google.co.uk/search?tbm=isch&q=Piemont+white+truffles",A0DDC#F01.A05LV$F02.A067H$F27.A0DDC$F33.A0C51,Piemont white truffles,Tuber magnatum Picco,
"Live animal of the taxonomic genus Histiopterus spp., within the Family Pentacerotidae. The part considered is by default the whole living organism.£http://www.fishbase.se/identification/SpeciesList.php?genus=Histiopterus£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Histiopterus",A0R4R#F02.A0EJV,Histiopterus (generic) (as animal),Histiopterus spp.,
"Live animal of the taxonomic species Typhlachirus caecus, within the Family Soleidae. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Typhlachirus-caecus.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Typhlachirus caecus",A0XVG#F02.A0EJV,Typhlachirus caecus (as animal),Typhlachirus caecus,
"The group includes any type of Cola Mix flavoured cola, i.e. a soft drink made by mixing a fruit-flavored syrup into cola, such as Cherry cola. The part consumed/analysed is by default the whole marketed unit or a homogeneous representative portion.£https://en.wikipedia.org/wiki/Cola£https://www.google.co.uk/search?tbm=isch&q=Cola mix, flavoured cola",A03FS#F02.A0ENS$F04.A06MP$F33.A0C1T,"Cola mix, flavoured cola",,Cherry cola
"Live animal of the taxonomic genus Caberea spp., within the Family Scrupocellariidae. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxdetails&id=110864£https://en.wikipedia.org/wiki/Flustrina",A12ET#F02.A0EJR,Caberea (generic) (as animal),Caberea spp.,
Live plant organism of the taxonomic group Sideroxylon majus (C.F.Gaertn.) Baehni. The group is relevant for the list of Botanicals. The plant is a member of the family Sapotaceae. The part considered is by default the whole living organism.£https://en.wikipedia.org/wiki/Sideroxylon_majus,A15PX#F02.A0BA0,Sideroxylon majus (C.F.Gaertn.) Baehni (as plant),Sideroxylon majus (C.F.Gaertn.) Baehni,
"Pulses (dried legume seeds) from the plant classified under the species Vigna radiata (L.) R. Wilczek var. radiata, commonly known as Mung beans (dry) or Green gram (dry). The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.£https://en.wikipedia.org/wiki/Mung_beans_£https://www.google.co.uk/search?tbm=isch&q=Mung beans (dry)",A013D#F01.A05HD$F02.A0ERV$F27.A013D$F28.A07KG$F33.A0C4V,Mung beans (dry),Vigna radiata (L.) R. Wilczek var. radiata,Green gram (dry)
"Live animal of the taxonomic species Nibea semifasciata, within the Family Sciaenidae. The organisms are commonly known as Sharpnose croaker. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Nibea-semifasciata.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Nibea semifasciata",A0QNZ#F02.A0EJV,Sharpnose croaker (as animal),Nibea semifasciata,
"Live animal of the taxonomic species Notopogon lilliei, within the Family Macroramphosidae, subfamily Macroramphosinae. The organisms are commonly known as Crested bellowfish. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Notopogon-lilliei.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Notopogon lilliei",A0N5K#F02.A0EJV,Crested bellowfish (as animal),Notopogon lilliei,
"Product of the processing of sunflower meal, obtained by grinding and fractionation (sieving and air fractionation) of sunflower seed meal, dehulled. Only when produced at an integrated crushing and refining site, the product may contain up to 1 % of the sum of used bleaching earth and filter aid (e.g. diatomaceous earth, amorphous silicates and silica, phyllosilicates and cellulosic or wood fibres). Minimum crude protein content: 45 % on 9,5 % moisture basis. Maximum crude fibre content: 8 % on 10 % moisture basis",A18VV#F02.A0F0Y$F23.A07TV$F27.A0CYQ,High-protein low-cellulose fraction of sunflower meal feed (feed),,
"Live animal of the taxonomic species Upeneus pori, within the Family Mullidae. The organisms are commonly known as Por's goatfish. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Upeneus-pori.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Upeneus pori",A0QXQ#F02.A0EJV,Por's goatfish (as animal),Upeneus pori,
"Live animal of the taxonomic species Epinephelus posteli, within the Family Serranidae. The organisms are commonly known as Striped-fin grouper or Mero aleta listada. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Epinephelus-posteli.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Epinephelus posteli",A09FC#F02.A0EJV,Striped-fin grouper (as animal),Epinephelus posteli,Mero aleta listada
Live animals of the taxonomic family Chloropseidae. The animals are commonly known as Leafbirds. The part considered is by default the whole living organism. £https://en.wikipedia.org/wiki/Chloropseidae,A19AQ#F02.A0EJX,Leafbirds (as animal),Chloropseidae (Family),
"Infusion materials from leaves and herbs of the plant classified under the species Marrubium vulgare L., commonly known as Horehound infusion leaves. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.£https://en.wikipedia.org/wiki/Marrubium_vulgare",A0D4R#F01.A0E7H$F02.A0EKX$F27.A0D4R$F33.A0C1Q,Horehound infusion leaves,Marrubium vulgare L.,
Ethiopian eggplant as living plant including all members of the taxonomic group Solanum aethiopicum L. The part considered is by default the whole living organism.£https://en.wikipedia.org/wiki/Solanum_aethiopicum,A0ECF#F02.A0EKN,Ethiopian eggplant (as plant),Solanum aethiopicum L.,
"Live animal of the taxonomic species Cynoponticus ferox, within the Family Muraenesocidae. The organisms are commonly known as Guinean pike conger or Murénésoce de Guinée or Morenocio de Guinea or Guinea Pike Conger. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Cynoponticus-ferox.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Cynoponticus ferox",A08L9#F02.A0EJV,Guinean pike conger (as animal),Cynoponticus ferox,Murénésoce de Guinée$Morenocio de Guinea$Guinea Pike Conger
"Live animal of the taxonomic species Metaloricaria paucidens, within the Family Loricariidae. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Metaloricaria-paucidens.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Metaloricaria",A0LZX#F02.A0EJV,Metaloricaria paucidens (as animal),Metaloricaria paucidens,
"Live animal of the taxonomic species Cassis madagascariensis, within the Family Cassidae. The organisms are commonly known as Emperor helmet or Casque imperial or Casco imperial. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxdetails&id=419778£https://en.wikipedia.org/wiki/Cassis_madagascariensis",A10FC#F02.A0EJR,Emperor helmet (as animal),Cassis madagascariensis,Casque imperial$Casco imperial
"Live animal of the taxonomic species Parachela siamensis, within the Family Cyprinidae. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Parachela-siamensis.html£http://www.marinespecies.org/aphia.php?p=taxdetails&id=270196",A0KHN#F02.A0EJV,Parachela siamensis (as animal),Parachela siamensis,
"Live animal of the taxonomic species Culicoides obsoletus O2 in the family Ceratopogonidae, as per VectorNet project agreement. The part considered is by default the whole living organism.",A1A8V#F02.A0EJP,Culicoides obsoletus O2 (as animal),Culicoides obsoletus O2,
"Fruits with inedible peel from the plant classified under the species Passiflora ligularis Juss., commonly known as Granadillas. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.£https://en.wikipedia.org/wiki/Passiflora_ligularis£https://www.google.co.uk/search?tbm=isch&q=Granadillas",A0DQY#F01.A0E8P$F02.A0ELC$F27.A0DQY$F33.A0C51,Granadillas,Passiflora ligularis Juss.,
"Live animal of the taxonomic species Amblygobius nocturnus, within the Family Gobiidae. The organisms are commonly known as Nocturn goby. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Amblygobius-nocturnus.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Amblygobius nocturnus",A0T9D#F02.A0EJV,Nocturn goby (as animal),Amblygobius nocturnus,
"Live plant organism of the taxonomic group Adonis annua L., Adonis autumnalis L. The group is relevant for the list of Botanicals. The plant is a member of the family Ranunculaceae. The part considered is by default the whole living organism.£https://en.wikipedia.org/wiki/Adonis_annua",A13GV#F02.A0BA0,Adonis annua L. (as plant),Adonis annua L.$Adonis autumnalis L.,
